GEO_ID,tract_geoid,NAME,population,median_household_income,poverty_universe_total,below_poverty_count,poverty_rate,complaint_count_2015,complaint_count_2025,complaint_change_2025_minus_2015
1400000US25025110106,25025110106,Census Tract 1101.06; Suffolk County; Massachusetts,1685,108974.0,1685,111,6.587537091988131,282,182,-100
1400000US25025110201,25025110201,Census Tract 1102.01; Suffolk County; Massachusetts,2251,70139.0,2251,394,17.503331852509994,428,273,-155
1400000US25025110301,25025110301,Census Tract 1103.01; Suffolk County; Massachusetts,2648,107450.0,2616,141,5.389908256880735,658,321,-337
1400000US25025110401,25025110401,Census Tract 1104.01; Suffolk County; Massachusetts,3508,97540.0,3507,432,12.318220701454234,685,392,-293
1400000US25025110403,25025110403,Census Tract 1104.03; Suffolk County; Massachusetts,4949,132719.0,4930,214,4.340770791075051,589,380,-209
1400000US25025110501,25025110501,Census Tract 1105.01; Suffolk County; Massachusetts,3204,147500.0,3204,179,5.586766541822722,509,307,-202
1400000US25025110502,25025110502,Census Tract 1105.02; Suffolk County; Massachusetts,3945,126250.0,3945,284,7.198986058301647,670,495,-175
1400000US25025110601,25025110601,Census Tract 1106.01; Suffolk County; Massachusetts,3038,140000.0,2886,114,3.9501039501039505,474,238,-236
1400000US25025110607,25025110607,Census Tract 1106.07; Suffolk County; Massachusetts,5316,155192.0,5055,252,4.985163204747774,923,664,-259
1400000US25025120103,25025120103,Census Tract 1201.03; Suffolk County; Massachusetts,1823,247533.0,1823,45,2.4684585847504112,440,235,-205
1400000US25025120104,25025120104,Census Tract 1201.04; Suffolk County; Massachusetts,2422,142885.0,2422,136,5.615194054500413,535,281,-254
1400000US25025120105,25025120105,Census Tract 1201.05; Suffolk County; Massachusetts,2382,191397.0,2106,186,8.831908831908832,597,331,-266
1400000US25025120201,25025120201,Census Tract 1202.01; Suffolk County; Massachusetts,4511,107955.0,4511,631,13.988029261804478,796,622,-174
1400000US25025120301,25025120301,Census Tract 1203.01; Suffolk County; Massachusetts,5044,130246.0,4944,550,11.124595469255665,929,862,-67
1400000US25025120400,25025120400,Census Tract 1204; Suffolk County; Massachusetts,6930,163713.0,6792,393,5.786219081272085,1580,818,-762
1400000US25025120500,25025120500,Census Tract 1205; Suffolk County; Massachusetts,2543,157813.0,2543,426,16.75186787259143,398,355,-43
1400000US25025120600,25025120600,Census Tract 1206; Suffolk County; Massachusetts,2555,147226.0,2555,69,2.700587084148728,633,333,-300
1400000US25025120700,25025120700,Census Tract 1207; Suffolk County; Massachusetts,1905,124500.0,1905,115,6.036745406824147,426,214,-212
1400000US25025130101,25025130101,Census Tract 1301.01; Suffolk County; Massachusetts,6275,154528.0,6244,261,4.1800128122998075,1127,513,-614
1400000US25025130200,25025130200,Census Tract 1302; Suffolk County; Massachusetts,4516,154464.0,4450,148,3.3258426966292136,1334,490,-844
1400000US25025130300,25025130300,Census Tract 1303; Suffolk County; Massachusetts,4375,165000.0,4375,140,3.2,1220,611,-609
1400000US25025130402,25025130402,Census Tract 1304.02; Suffolk County; Massachusetts,5275,107986.0,5270,227,4.307400379506642,1127,542,-585
1400000US25025130404,25025130404,Census Tract 1304.04; Suffolk County; Massachusetts,2880,96761.0,2796,179,6.402002861230328,813,334,-479
1400000US25025130406,25025130406,Census Tract 1304.06; Suffolk County; Massachusetts,5781,46463.0,5733,1161,20.251177394034535,438,259,-179
